AREA,PAIS,CONTINENTE,SUB_REGIAO,ISO,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,POPULACAO,URBANIZACAO,GINI,GASTOS_SAUDE,EXPECTATIVA_VIDA,DENSIDADE_MEDICOS,DENSIDADE_LEITOS_POR_MIL,PIB,CASOS,MORTES,CASOS_POR_MILHAO,MORTES_POR_MILHAO
446300,MOROCCO,AFRICA,NORTHERN AFRICA,MAR,3180781.0,3242217.0,3191961.0,3044376.0,2839855.0,2738962.0,2777404.0,2630980.0,2327011.0,2112509.0,1865624.0,1668470.0,1413616.0,1020040.0,647521.0,447264.0,270514.0,111040.0,27592.0,3675.0,242.0,35561654.0,0.6409999999999999,39.5,0.053,73.56,0.73,1.0,279295000000.0,557632,9450,15107.7,256.0
2149690,SAUDI ARABIA,ASIA,WESTERN ASIA,SAU,2557037.0,2931599.0,2998436.0,2729005.0,2527554.0,2854615.0,3191645.0,3522052.0,3368604.0,2561510.0,1656081.0,1188049.0,845339.0,520487.0,317013.0,219668.0,116592.0,49957.0,15623.0,2429.0,203.0,34173498.0,0.845,45.9,0.064,76.4,2.61,2.2,1609323000000.0,510869,8089,14674.300000000001,232.3
425400,UZBEKISTAN,ASIA,CENTRAL ASIA,UZB,2426573.0,2352569.0,2309301.0,2410680.0,2672949.0,3074395.0,2994874.0,2509189.0,2058563.0,1793001.0,1531410.0,1469152.0,1168146.0,750761.0,408648.0,222238.0,240825.0,109969.0,50584.0,10371.0,1213.0,30565411.0,0.504,36.8,0.053,75.03,2.37,4.0,235021000000.0,121329,809,3625.1,24.2
1280000,PERU,AMERICA LATINA,SOUTH AMERICA,PER,2691803.0,2715409.0,2709319.0,2696236.0,2796182.0,2844794.0,2490911.0,2170852.0,2034870.0,1877823.0,1675504.0,1453299.0,1189004.0,946377.0,691473.0,473908.0,286069.0,127928.0,36678.0,6035.0,515.0,31914989.0,0.7829999999999999,42.8,0.052000000000000005,74.96,1.3,1.6,417690000000.0,2094445,195243,63522.200000000004,5921.5
1246700,ANGOLA,AFRICA,MIDDLE AFRICA,AGO,6064889.0,5193191.0,4298425.0,3391807.0,2668933.0,2246699.0,1913738.0,1605183.0,1338694.0,1082355.0,855412.0,652888.0,461878.0,304119.0,204489.0,138964.0,70944.0,24129.0,5005.0,565.0,32.0,32522339.0,0.675,51.3,0.026,61.71,0.22,,212285000000.0,41061,970,1249.3000000000002,29.5
328550,MALAYSIA,ASIA,SOUTH-EASTERN ASIA,MYS,2938839.0,2916715.0,2895689.0,2816000.0,2614430.0,2509470.0,2402301.0,2364330.0,2212338.0,2020742.0,1833421.0,1594238.0,1282080.0,931614.0,601921.0,370538.0,210367.0,96553.0,32039.0,7407.0,1051.0,32652083.0,0.777,41.0,0.038,75.87,1.54,1.9,906239000000.0,939899,7241,29039.699999999997,223.70000000000002
786380,MOZAMBIQUE,AFRICA,EASTERN AFRICA,MOZ,5173526.0,4656001.0,3887646.0,3256912.0,2735544.0,2223567.0,1843574.0,1550797.0,1217002.0,960642.0,717534.0,555602.0,439282.0,339634.0,248011.0,164883.0,87937.0,32465.0,6897.0,707.0,34.0,30098197.0,0.376,54.0,0.08199999999999999,56.49,0.08,0.7,38910000000.0,102009,1158,3263.7,37.0
227540,GHANA,AFRICA,WESTERN AFRICA,GHA,4029284.0,3664007.0,3292584.0,2909316.0,2560766.0,2246492.0,2052724.0,1837652.0,1520856.0,1296147.0,1100073.0,863727.0,664547.0,506475.0,353363.0,232708.0,133591.0,57422.0,15924.0,2386.0,204.0,29340248.0,0.58,43.5,0.035,69.01,0.14,0.9,164640000000.0,99734,817,3209.7000000000003,26.299999999999997
527970,YEMEN,ASIA,WESTERN ASIA,YEM,3758893.0,3795528.0,3715415.0,3410349.0,2994543.0,2599797.0,2280596.0,1950702.0,1560332.0,1007605.0,723791.0,664005.0,543719.0,374078.0,247440.0,144841.0,73039.0,29790.0,8465.0,1366.0,111.0,29884405.0,0.385,36.7,0.056,67.18,0.53,0.7,73630000000.0,6987,1370,234.3,45.9
143350,NEPAL,ASIA,SOUTHERN ASIA,NPL,2745826.0,2860090.0,2994512.0,3135690.0,3211584.0,2885557.0,2229752.0,1888714.0,1747975.0,1586564.0,1300356.0,1104711.0,909485.0,708349.0,484517.0,301072.0,159588.0,58679.0,13098.0,1667.0,91.0,30327877.0,0.21,32.8,0.058,72.12,0.75,0.3,97749000000.0,672871,9637,23093.5,330.79999999999995
882050,VENEZUELA,AMERICA LATINA,SOUTH AMERICA,VEN,2480367.0,2464853.0,2405957.0,2329970.0,2294015.0,2330406.0,2288701.0,2145946.0,1872185.0,1680880.0,1500700.0,1359914.0,1148801.0,915336.0,623138.0,380965.0,245174.0,122521.0,46669.0,7480.0,625.0,28644603.0,0.883,39.0,0.036000000000000004,72.22,,0.9,269068000000.0,293866,3392,10334.300000000001,119.3
581795,MADAGASCAR,AFRICA,EASTERN AFRICA,MDG,3780648.0,3507389.0,3186837.0,2839110.0,2568163.0,2259668.0,1884282.0,1551376.0,1276441.0,1037105.0,890966.0,701648.0,537031.0,386244.0,265058.0,155140.0,82722.0,35446.0,9118.0,1259.0,86.0,26955737.0,0.392,42.6,0.048,67.86,0.18,0.2,44419000000.0,42621,941,1539.1999999999998,34.0
472710,CAMEROON,AFRICA,MIDDLE AFRICA,CMR,4448648.0,3855060.0,3444158.0,2995828.0,2563421.0,2221858.0,1879021.0,1512017.0,1192190.0,936502.0,759046.0,602146.0,471426.0,354180.0,246636.0,152297.0,76538.0,27287.0,5981.0,709.0,40.0,27744989.0,0.581,46.5,0.035,62.79,0.09,1.3,94248000000.0,81467,1330,3068.8999999999996,50.099999999999994
318000,COTE D'IVOIRE,AFRICA,WESTERN AFRICA,CIV,3671905.0,3467353.0,3448932.0,2993329.0,2560057.0,2274896.0,2059373.0,1675951.0,1426113.0,1204642.0,945268.0,534935.0,435125.0,342566.0,232462.0,128374.0,58103.0,18059.0,3311.0,316.0,16.0,27481086.0,0.522,41.5,0.042,61.8,0.23,,134048000000.0,49288,322,1868.5,12.2
120410,NORTH KOREA,ASIA,EASTERN ASIA,PRK,1799113.0,1730069.0,1719514.0,1829568.0,1934322.0,2049859.0,1886883.0,1732137.0,1559759.0,1956368.0,2098474.0,1579971.0,1292314.0,697730.0,775627.0,538660.0,309136.0,118564.0,30622.0,4499.0,277.0,25643466.0,,,,,,,,0,0,0.0,0.0
7682300,AUSTRALIA,OCEANIA,AUSTRALIA AND NEW ZEALAND,AUS,1573566.0,1613045.0,1580513.0,1532917.0,1750130.0,1909110.0,1852540.0,1788398.0,1670366.0,1708282.0,1551185.0,1499262.0,1392388.0,1231459.0,1080789.0,734347.0,493015.0,293653.0,154288.0,48951.0,8255.0,25466459.0,0.8640000000000001,34.4,0.093,82.89,3.68,3.8,1264514000000.0,32129,915,1260.0,35.9
1266700,NIGER,AFRICA,WESTERN AFRICA,NER,4585129.0,3746737.0,3187051.0,2586965.0,1965990.0,1453092.0,1144194.0,931675.0,755681.0,594549.0,487396.0,406622.0,315984.0,229784.0,172126.0,117142.0,61809.0,23380.0,6213.0,797.0,45.0,22772361.0,0.168,34.3,0.073,59.7,0.04,0.4,28544000000.0,5594,194,231.1,8.0
62710,SRI LANKA,ASIA,SOUTHERN ASIA,LKA,1666985.0,1776880.0,1844964.0,1760193.0,1576650.0,1640505.0,1590394.0,1732907.0,1661616.0,1435753.0,1369768.0,1266147.0,1132390.0,876363.0,674066.0,414329.0,261186.0,141109.0,54085.0,11532.0,1379.0,22889201.0,0.189,39.8,0.038,77.75,1.0,4.2,285141000000.0,287973,3813,13448.4,178.1
273600,BURKINA FASO,AFRICA,WESTERN AFRICA,BFA,3350869.0,3057215.0,2672217.0,2357050.0,1878175.0,1609418.0,1382450.0,1157530.0,866007.0,593093.0,508049.0,416967.0,327466.0,252009.0,175194.0,124205.0,65897.0,32708.0,7677.0,1124.0,81.0,20835401.0,0.312,35.3,0.056,63.06,0.09,0.4,44266000000.0,13537,169,647.6,8.100000000000001
1220190,MALI,AFRICA,WESTERN AFRICA,MLI,3609399.0,3123948.0,2592459.0,2082784.0,1631570.0,1324457.0,1097349.0,921962.0,781494.0,594355.0,482779.0,396837.0,323043.0,231821.0,166369.0,109675.0,57023.0,20565.0,4874.0,598.0,36.0,19553397.0,0.447,40.1,0.039,62.01,0.13,0.1,45637000000.0,14523,530,717.2,26.200000000000003
230170,ROMANIA,EUROPA,EASTERN EUROPE,ROU,936303.0,1014281.0,1058312.0,1061563.0,1134251.0,1224252.0,1685171.0,1617636.0,1884654.0,1729326.0,1713255.0,1146410.0,1352452.0,1249121.0,930005.0,628673.0,529591.0,282801.0,102233.0,20945.0,1658.0,21302893.0,0.5429999999999999,36.0,0.056,76.3,2.98,6.9,579549000000.0,1081875,34260,55972.1,1772.5
94280,MALAWI,AFRICA,EASTERN AFRICA,MWI,3773032.0,3201263.0,2747795.0,2342959.0,2004397.0,1617180.0,1284592.0,1086893.0,848559.0,627086.0,462821.0,352750.0,279145.0,222164.0,166310.0,102197.0,51459.0,19998.0,5306.0,682.0,41.0,21196629.0,0.177,44.7,0.093,72.16,0.04,1.3,19741000000.0,44684,1363,2335.8,71.2
743532,CHILE,AMERICA LATINA,SOUTH AMERICA,CHL,1196495.0,1208869.0,1194000.0,1180848.0,1336100.0,1441850.0,1409695.0,1310889.0,1160480.0,1194348.0,1225843.0,1199820.0,979251.0,732156.0,558911.0,406518.0,250025.0,129681.0,56250.0,12637.0,2104.0,18186770.0,0.878,44.4,0.091,79.57,2.59,2.1,459134000000.0,1601858,34569,83795.8,1808.4
2699700,KAZAKHSTAN,ASIA,CENTRAL ASIA,KAZ,1625476.0,1737119.0,1626088.0,1250083.0,1225328.0,1549496.0,1672632.0,1447353.0,1228765.0,1155388.0,1009399.0,1051230.0,904873.0,665341.0,386298.0,222259.0,230869.0,62285.0,34802.0,6074.0,791.0,19091949.0,0.578,27.5,0.029,72.25,3.98,6.1,487868000000.0,536089,8173,28550.7,435.3
743390,ZAMBIA,AFRICA,EASTERN AFRICA,ZMB,3092857.0,2628833.0,2248413.0,1890158.0,1601246.0,1334942.0,1094554.0,910445.0,758878.0,551439.0,396163.0,295869.0,227928.0,151843.0,114520.0,71521.0,39539.0,13981.0,3107.0,367.0,20.0,17426623.0,0.452,57.1,0.049,65.92,1.19,2.0,61985000000.0,187602,3138,10204.7,170.7
107160,GUATEMALA,AMERICA LATINA,CENTRAL AMERICA,GTM,1979293.0,1955811.0,1842473.0,1721583.0,1667693.0,1529930.0,1305838.0,1091518.0,941583.0,786365.0,597515.0,510738.0,417422.0,323370.0,225952.0,142221.0,71697.0,30897.0,9682.0,1583.0,124.0,17153288.0,0.522,48.3,0.057,72.63,0.36,0.4,143416000000.0,334375,9927,18663.9,554.0999999999999
