,0-19,20-44,45-59,60-79,80-100+,TOTAL_POPULATION,GINI_INDEX,TOTAL_CASES,TOTAL_CASES_100K,TOTAL_DEATHS,TOTAL_DEATHS_100K,TOTAL_CASES_1M,TOTAL_DEATHS_1M,HDI,COUNTRY_CODE,DIABETES_PREVALENCE,LAST_GPD_USD,PHYSICIANS_DENSITY_PER_1K_POP,OBESITY_PREVALENCE_RATE,URBAN_POPULATION_2021,RATE_URBANIATION_EST_20_25,REGION
NAMIBIA,1163.761,942.284,249.159,124.601,14.719,2494.524,59.1,122545,4822.89,3285,129.28,49125604.7245887,1316884.50381716,0.645,NAM,4.5,5313,0.42,17.2,53,3.64,Africa
NEPAL,11685.646,10851.638,3619.319,2235.224,216.888,28608.715,32.8,737294,2530.46,10354,35.54,25771657.3428761,361917.688368737,0.579,NPL,7.2,833,0.75,4.1,3.09,21,South Asia
NETHERLANDS,3736.158,5205.091,3699.818,3636.386,819.67,17097.123,28.5,1904128,10938.5,17915,102.91,111371252.34462,1047837.11271189,0.933,NLD,5.4,53081,3.61,20.4,0.59,92.6,Europe
NEW CALEDONIA,85.124,103.787,54.944,34.687,4.215,282.757,,134,46.94,0,0,473905.155310037,0,0.813,NCL,21.8,34780,2.22,,1.72,71.9,Australia - Oceania
NEW ZEALAND,1239.141,1560.708,943.672,857.658,181.883,4783.062,36.2,2570,53.29,26,0.54,537312.708888156,5435.84841676733,0.921,NZL,6.2,37922,3.59,30.8,86.8,0.92,Australia - Oceania
NICARAGUA,2555.913,2615.721,823.267,476.746,73.856,6545.503,46.2,8193,123.68,197,2.97,1251699.06728329,30096.9994208237,0.651,NIC,11.4,1722,0.98,23.7,59.3,1.45,Central America
NIGER,14140.989,6524.932,1685.962,904.753,54.083,23310.719,34.3,5724,23.65,196,0.81,245552.271467903,8408.14905795055,0.377,NER,2.4,550,0.04,5.5,4.72,16.8,Africa
NIGERIA,109010.679,65241.055,17663.532,8614.729,433.608,200963.603,35.1,183087,88.82,2223,1.08,911045.568783915,11061.704541593,0.534,NGA,3.1,2273,0.38,8.9,52.7,3.92,Africa
NORTH KOREA,7034.747,9145.038,5730.998,3329.882,425.493,25666.158,,226854,442.48,2173,4.24,8838642.69829556,84664.0155491913,,PRK,6.4,1800,3.68,6.8,62.6,0.85,East Asia/Southeast Asia
NORWAY,1259.291,1801.976,1082.434,1008.935,226.223,5378.859,27,144478,2691.68,809,15.07,26860343.4297125,150403.645085324,0.954,NOR,5.3,90885,2.92,23.1,1.32,83.3,Europe
OMAN,1333.812,2864.361,570.126,185.983,20.71,4974.992,,300408,5882.71,3999,78.31,60383614.6872196,803820.388052885,0.834,OMN,10.1,15082,2,27,87,2.32,Middle East
PAKISTAN,97689.286,80447.103,24050.393,12965.003,1413.532,216565.317,33.5,1102079,498.92,24478,11.08,5088898.88402583,113028.255581664,0.56,PAK,19.9,1168,0.98,8.6,2.1,37.4,South Asia
