URBANIZACAO,PAIS,GINI,GASTOS_SAUDE,EXPECTATIVA_VIDA,DENSIDADE_MEDICOS,DENSIDADE_LEITOS_POR_MIL,PIB
0.7490000000000001,RUSSIA,37.5,0.053,72.16,3.75,8.1,3968180000000
0.17600000000000002,RWANDA,43.7,0.075,65.48,0.13,,28118000000
0.40299999999999997,"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",,,80.25,,,31100000
0.309,SAINT KITTS AND NEVIS,,0.053,76.83,2.68,4.8,1396000000
0.18899999999999997,SAINT LUCIA,51.2,0.044000000000000004,78.71,0.64,1.3,2823000000
0.9,SAINT PIERRE AND MIQUELON,,,81.2,,,261300000
0.535,SAINT VINCENT AND THE GRENADINES,,0.045,76.43,0.66,4.3,1380000000
0.177,SAMOA,38.7,0.052000000000000005,74.92,0.35,,1285000000
0.976,SAN MARINO,,0.071,83.68,6.11,3.8,2008000000
0.7509999999999999,SAO TOME AND PRINCIPE,56.3,0.063,66.72,0.05,2.9,853000000
0.845,SAUDI ARABIA,45.9,0.064,76.4,2.61,2.2,1609323000000
0.486,SENEGAL,40.3,0.04,63.83,0.07,0.3,55324000000
0.5670000000000001,SERBIA,36.2,0.085,76.56,3.11,5.6,126625000000
0.58,SEYCHELLES,46.8,0.051,75.84,2.12,3.6,2852000000
0.434,SIERRA LEONE,35.7,0.161,60.19,0.03,,13425000000
1.0,SINGAPORE,45.9,0.045,86.19,2.29,2.5,555193000000
1.0,SINT MAARTEN,,,79.03,,,1436000000
0.5379999999999999,SLOVAKIA,25.2,0.067,78.07,3.42,5.8,178513000000
0.5539999999999999,SLOVENIA,24.2,0.083,81.61,3.09,4.5,81614000000
0.251,SOLOMON ISLANDS,37.1,0.045,76.45,0.19,1.4,1783000000
0.467,SOMALIA,,,55.32,0.02,0.9,20440000000
0.6779999999999999,SOUTH AFRICA,63.0,0.083,65.04,0.91,2.3,730913000000
0.205,SOUTH SUDAN,46.0,0.064,58.6,,,20010000000
0.8109999999999999,SPAIN,34.7,0.09,82.21,3.87,3.0,1925576000000
0.18899999999999997,SRI LANKA,39.8,0.038,77.75,1.0,4.2,285141000000
0.35600000000000004,SUDAN,34.2,0.045,66.79,0.26,0.7,168280000000
0.662,SURINAME,,0.08,73.57,1.21,3.0,9606000000
0.882,SWEDEN,28.8,0.109,82.6,3.98,2.2,547595000000
